,Subj,Narrative,가장 비중이 높은 토픽
20,21,평범한 세대의 가장이다  난 주로 사회사업 특히 기술인도 업무를 한다  난 주로 만나는 사람이 기술계 바이어다  바이어를 만나면 늘 기술거래를 고민한다  그러나 거래처는 잘 응대해 주지 않는다  많은 거래를 해서 이익 창출해야는데 고민이 크다  거래 선정도 신경써야한다  그러던 중 타시 거래처 사장은 날보고 이것저것 다하지  말라고 한다  난 그렇게 단순하게 일하는게 쉽지 않다  늘 고민이다  다음번에는 그러지 말아야 하는데 신경쓸일이 많다  거래처 사장 조언은 때때로 부담이다  가정도 걱정해야 한다  여튼 난 내 삶에 나름대로 열심히 최선을 다하고 있다고 본다 내 삶이 피곤하다고 와이프한테 말하면 또 그녀의 말은 다르다  아이들 얘기만 한다  돈이 더 있어야 한다는 등의 말이다  결국 그 말도 맞기에 난 한숨쉬며 또 일한다  일 일 일  그렇게 하루가 가고 또 하루가 온다 돌아오는 하루는 또 같은 일이 있어서 늘 반복된다  답답하기도 하고 그저 웃음만 나오거도 한다  그래도 와이프 말데로 아이 생각 돈 생각하며 일한다  그런 나를 거래처 사장도 역시 거래인으로 보는 듯 하다  참 아이러니하며 어쩔수 없는 인생이다,2.0
21,22,"오랜 임용준비 경험으로 인한 여러번의 시험실패 결과로 좌절, 무능력, 타인과의 비교로 인해 나도 모르는 열등감이 있었던 것 같다. 고등학교 때도 그다지 좋은 성적은 아니었고, 지금까지도 기억나는 사건은 당시 아버지와 대학교 지원 관계로 이야기를 했었는데, 결론은 나지 않고, 나에게 지나가는 말로 '공부도 못하는 게' 라고 했던 말이 지금도 기억이 난다. 당시 나는 여린 마음에 방에서 혼자 울었던 기억이 있다. 어려서부터 엄마는 누구네 아들, 딸은 공부를 잘해서 혹은 취업을 잘해서라며 비교를 하는 말을 자주 하셨고, 당시 나는 나름 노력을 하는데도, 부모님의 이정도 밖에 안되는 유전자를 타고나서 그렇거나, 혹은 부유하지 못한 집에서 태어나 제대로 된 사교육을 못받아서 그런 것이라는 원망을 많이 했었다. 이런 환경속에서 열등감을 가지게 되었고, 열심히 노력해서 성공해야 겠다는 동기를 유발하게 된 것 같다. 처음 임용을 준비할때도, '날고 기는 아이도 임용 되기가 힘들다는데, 너가 되겠냐?'는 부모님의 걱정이 있었지만, 임용을 합격하기만하면 나도 사회에서 인정받고 성공한 인생이 될수 있다는 생각으로 임용준비를 시작하였다. 임용만 합격한다면, 사회에서 인정받고 경제적으로도 안정적인 직업을 가지게 되며, 나의 열등감도 해소할 수 있을 것 같았다. 임용 합격 후, 나의 자존감은 그야 말로 높아졌고, 다른 사람들 앞에서도 당당해지고, 더 나아가 두드러져 보이고 싶기까지 했다. 당시에는 이제 힘든 시험도 통과를 하였으니 이제는 편하게 인생을 즐기자는 생각을 했었지만, 지금까지 계속 꾸준히 무언가를 하고 있다. 나에게 쉬는 것은 무의미하고 시간이 아깝다는 생각이 들게 하고, 반대로 시간을 쪼개서 무언가 노력하는 것은 비록 몸은 힘들더라도 뿌듯하고, 기분이 좋다. 더 나아가 좋은 성취를 이루었을때의 기쁨이란 이루 말할수 없다. 그래서 누군가에게 현재 나의 모습을 이루게 된 계기를 꼽으라고 한다면 나는 부모님에게서 받은 열등감이라고 할수 있다.",1.0
22,23,"2018년 2월 12일 혜화동 서울대병원에서 7시 30분 신장이식 수술을 했다. 내 왼쪽 신장이 남편 오른쪽 방광 밑으로 옮겨지는 수술이다. 수술침대에 옮겨져서 누운 상태로 복도를 지났다. 수술실이라는 글자가 보이고 문이 열리고 하얀 복도를 따라 대기실에 들어갔다. 젊은 남자가 누운 수술침대가 내 옆에 놓여졌다. 도살장에 끌려가는 돼지가 된 기분이었다. 내 이름이 불려지고 누군가 내 침대를 끌고 수술방으로 들어갔다. 그날 첫 수술 환자인 것 같다. 깨끗하고 큰 불빛들이 보였다. 커다란 기계를 만지작거리는 손길들. 다들 젊다. 난 내 수술집도의 얼굴도 모른다. 알면 또 뭐하겠어. 어차피 민망한 상태에서 내 속을 보여줄텐데. 내 밑에 무얼 안깔았다고 얘기하는 것 같은데 난 이미 마취약을 마시고 있었다. 그리고 4시간 후 오후1시 쯤 사람들 말소리가 들렸다. ""왜 안깨지?"" ""이기성씨! 이기성씨!"" 그렇게 대기실에 있다 수술실을 나왔다. ""기성아!"" 엄마,아빠 음성이 들리네. 머리를 쓰다듬는 아빠의 손길이 느껴진다. ""아파~!"" 부모님이 오셨나 보다. 아 고마워라. 70이 넘으신 부모님이 딸자식 수술하는 걸 보러 오셨네. 이것도 못할 노릇이다. 그리고 너무 아프다. 병실로 옮겨졌다. 간병인은 60대 아줌마시네. 고운분이 오셨네. 간병인 아줌마는 수다스러운 분이셨다. 마취로 잠들지 않게 계속 말을 거신다. 왜 이렇게 졸린지. 내 밑에 소변줄이 꽂혀있고, 간병인이 소변량을 체크하는 것 같다. 감각도 없다. 이런 내가 소변줄을 꽂고 있다니. 수술실에서 어떻게 그걸 꽂았을까. 챙피하다. ""남편이 잘해줬나 보네. 요즘 세상에 어찌 신장을 줄까?"" "" 이런 경험을 해주게 해줘서 제가 오히려 고맙죠, 그러니까 앞으로 제가 더 잘해야지요."" 이건 뭐 교과서 구겨지는 소리야. 아! 열녀 나셨네. 행복 대학 다니더니 단단히 세뇌당했나 봐. ""아이구, 착해서 복 받을거야!"" 수술은 둘 다 잘됐다. 난 이주일 있다 퇴원했고, 신랑은 한 달 후 퇴원했다. 수술 하기 전에는 남편보다 아들이 걱정이 되었다. 하지만 제일 큰 걱정은 '나' 아니였을까. 수술 하기 전 나는 건강한 사람이고, 신랑이 환자였다. 수술 후 나는 병신이 되었고, 여전히 신랑은 환자이다. 물론 나의 정신 건강을 위해서는 준 것에 대해서 감사하게 생각해야겠지. 그런데 수술 후 우울해지고 만사가 귀찮게 느껴졌다. 그리고 남편의 식구들과 나는 남이 확실하다는 생각이 들었다. 우리 시어머니는  전화로 "" 허전해도 어쩌겠냐, 어쩔 수 없지"" 그러는데 자기 딸이라도 그렇게 말할까 싶다. 그동안 너무 바보같이 살았구나 하는 생각이 들었다. 정신차리자 그리고 이제부터라도 나 하고 싶은 데로 살자. 주변을 너무 의식하지 말자. 인생 짧다. 그의 건강은 그의 몫이다. 내가 해줄 수 있는 건 여기까지다. 더 이상 해 줄 수 없다. 받는 사람은 받을 수 밖에 없는 이유가 있다. 나도 아프니, 그가 아픈 것을 받아주기 힘들다. 각자도생이다. 아프다고 버리고 나 혼자 잘 먹고 잘 사는 것도 힘들고. 같이 가는 것도 힘들고. 이제는 내가 하고 싶은 것, 나에게 좀 더 집중하면서 살고 싶다. 힘든 건 힘들다고 하고, 도와달라고 하고, 그래야 할 것 같다. 너무 주변을 의식하면서 살아온 것 같다. 직장에서도 집에서도 시댁, 친정도. 이제는 다 내려놓고 '나'에게 말을 걸며 살아야겠다. 너 뭐 좋아하니, 뭐 하고 싶니. 인생 별 거 없어. 죽음이 멀리 있는 것도 아니고. 가볍게 살자. 이게 우리 신랑이 나의 신장을 가져가고 나에게 준 선물이다. 나는 그에게 불친절한 파트너다. 그는 나를 어떻게 바라볼까. 내가 그라면 내가 어떤 존재일까? 부담스러운 존재? 글쎄, 난 그가 아니니 모르겠다. 아뭏든 마음 편하지는 않겠지. 힘든 일을 겪으면서 예전의 그를 바라보던 나는 사라지고, 다른 내가 자리잡은 것 같다. ",3.0
23,24,"대학교 1학년 때 우연히 특강을 듣게 되었다. 카우치서핑을 이용해서 세계여행을 한 사람의 이야기였다. 강의를 듣는 내내 가슴이 두근거렸고 설렜다. 대학교를 졸업하기 전에 반드시 카우치서핑을 이용한 외국 여행을 해보고겠다고 결심했고, 2년 뒤 대학교를 휴학하고 카우치서핑 여행을 떠났다. 떠나는 날이 다가올수록 두려운 마음이 커지자 여행에 대한 걱정이나 부정적인 생각을 전혀 하지 않았고, 무작정 떠났다. 여행에서 돌아온 후에도 걱정되거나 긴장되는 일을 앞둘 때마다, 여행이 하루하루 다가오던 그때처럼 아예 그 일에 대해 생각을 하지 않으면 불안해하지 않고 그나마 마음 편하게 지낼 수 있는 방법을 터득했다.  유럽을 여행하며 다양한 나라에서 다양한 삶의 모습으로 살아가는 여러 사람들을 만났다. 저마다 이렇게 다양한 모습으로 살아갈 수 있다는 것을 느꼈다. 어느 한 곳에 정착하지 않고 매년 각 나라를 돌아다니면서 돈을 벌고 여행을 하며 떠돌아다니는 사람도 만났고, 이탈리아에서 태어났지만 영국에 정착하여 자신만의 커리어를 쌓아가는 사람도 만났다. 평범하디 평범한 대학생도 만났고, 혼자 살면서 넉넉하게 살지는 않지만 가진 것에 만족하며 살아가는 사람도 만났다. 이렇게 저마다 자신만의 다양한 삶을 살아가는 사람들을 보며 인생의 정답은 없다고 생각했다. 내가 살고자하는 삶에 대한 욕심이 없어진 것은 아니지만, 지금의 내 모습에 대해 너무 스트레스 받거나, 계획을 세우고 내 생활이 그 계획대로 되지 않는다고 해서 크게 스트레스 받지는 않는다. 예전의 나는 그냥 흘러가는 대로 사는 것은 안될 일이라고, 내가 주도적으로 살아야만 한다고 생각했지만, 지금의 나는 때론 흘러가는 대로 그대로 두고 현재에 충실하는 것도 나쁘지 않은 것 같다고 생각한다. ",3.0
24,25,현재 내 모습을 돌이켜 보면 내가 느끼는 감정을 표현하기 보다 타인이 날어떻게 보고 생각하는지가 더 중요하게 느낀다. 어릴적부터 소위 말하는 눈치를 많이 보면서 자란것 같다. 특히 어머니의 성격이 내게 많은 영향을 미친것 같다. 어머니는 성격이 불같으시고 엄하신 편이였다. 어려운 집안 살림 때문에 항상 일을 하셨고 당연히 나한테 소홀 하셨다. 가끔 생각 나실때마다 공부에 관여 하셨는데 그럴때마다 아니 항상 어머니 눈치를 봤던거 같다. 혼나지 않기 위해 거짓말도 하고 공부 하는 척도 했다. 즉흥적으로 행동하지 않고 항상 내가 이렇게 하면 다른 사람들은 어떻게 생각하고 어떻게 반응 할지를 먼저 생각하게 된다.  그래서 인지 말하는 속도가 약간 느린 편이고 말할때도 자신없는 목소리와 말투가 되는것 같다.  부모님이나 선생님에게 혼나지 않기 위해서.. 친구들에게 따돌림 당하지 않기 위해서.. 현재 나의 모습은 내가 날 사랑하기 보다는 타인으로 부터 사랑 받기를 원한다. 그래서 착한척 쿨한척 바른척을 하면서 살고 있다. 그렇게 자라 오면서 지금의 모습이 된것 같다는 생각을 한다. ,3.0
25,26,"내가 20살때 어머님이 돌아가셨다.  어머님이 갑작스런 사고로 돌아가시는 것을 경험하면서 인생은 한순간이고 사람일이 어떻게 될지 모른다고 생각했다.  그때 부터 내가 번 돈을 아끼기 보다 내가 지금 이순간 즐길 수 있는 일을 하고싶었다.  미래에 대한 걱정이 없는 것은 아니지만 현재를 즐기려고 노력하다 보니 성격이 바뀐것 같다.  어릴적엔 소심하고 자신감도 없었지만, 커가면서 남들에게 보이는 내 모습보다 내 자신을 사랑하는 것이 더 중요했다. 또한 혼자 오래 살다 보니 살아남으려면 생활력이 강해야 했다.  앞으로 내 가정을 꾸려서 나와 함께 하는 아내도 나와 가치관이 맞고 생각이 맞은 사람을 만나 미래를 꿈꾸어 나갈 것을 기대한다. 지금 내게 주어진 직장에서는 사람들과 소통하는 법을 배워야 했다. 깔끔한 성격때문에 다른사람과 어울리기가 어려웠지만 함께 공동체 생활을 하면서 깔끔한 성격을 내려놓게 되었다.  군대에서는 더더욱 공동체 생활을 했기 때문에 어쩔수 없는 상황들에 적응하는 법을 배웠으며, 그렇게 나만의 벽이 강했는데 점차 사회생활을 하면서 허물어 지게 된 것이다. ",4.0
26,27,"3년전까지 저는 의상디자이너였습니다 제꿈은 도매 가게를열어 장사를 하는것이엇습니다 주변 친구들,언니들을 봐도 자기가 입고싶은 옷을 만들고 팔며 돈도 벌고 좋은집에 좋은차에 저도 그 날을 기다리며 일을하엿습니다 하지만 나이가 들면서 부모님께서는 장사보다는 결혼을 재촉하셨고 결혼전에 시작했다 망했을때 이제 결혼 자금도 다 날리고 인생이 망가질까 부모님께서는 결혼하고 해라 혼자힘들다 그때 도와주겠다 라고 말씀하셨습니다 실질적으로 부모님의 금전적 도움없이는 장사를 할 수 없었기에 그 꿈을 잃어갈때쯤 지금의 남편을 만나서 결혼을 하게되었습니다 좋은사람이고 저는 그 사람이 너무 예쁩니다 요리보고 저리봐도 너무 예쁜 남편을 만나 이제 2세 준비를 하고있습니다 아직 뜻대로되지는 않지만 그래도 잘 될꺼라는 믿음으로 병원을 다니고있습니다 제가 지금 이렇게 심적으로 안정되고 행복을 느끼는 이유는 지금의 남편을 만나서 그런것같습니다 그전까지만해도 분노와 부모님에대한 원망 자꾸 제뜻을 이해하지못하는 부모님에게 화가 많았습니다 인생에서 사랑하는 사람을 만나고 서로 좋아하는것이야말로 일이나 사회적 명예를 얻는것보다 더 값진 일이라고 생각합니다 마음이 편하고 누군가를 생각할때 즐겁고 희생할수있고 대화할수있고 언제나 내편이되어주는 다정한 사람이 옆에있다는 것만으로도 가끔 많은 의지가 되기도합니다 내가 착하게살면 서로에게 좋은 일들이 생겨나지않을까 하는 마음에 작지만 기부도 시작했고 주변을 돌아볼 여유를 갖게되었습니다 물론 지금은 경제적으로 넉넉하진않고 제꿈이었던 장사도 하지 못하고있지만 이것들은 잠시 미뤄줬을뿐 끝났다라고 생각하지않습니다 제가 이러케 긍정적으로 생각할수있게된것도 지금 삶이 부족하지만 매일 이야기하고 함께 계획을 세우고 함께 실천하고 실행하고 함께 웃고 울고 해줄 영원한 내편이 옆에있어서가 아닐까싶습니다 그 전삶이 불행했다는건 아닌데 마음맞는 배우자와 함께 사는것은 정말 상상이상의 재미가있습니다 행복보다는 재미라는 말이 맞는거같아요 하루하루 너무 재미있습니다 이 사람을 만남으로써 제 안에있던 많은 감정들이 꺼내졌던것같습니다 주변사람들을 더 돌아보게되었고 살피게되었습니다 나는 이렇게 행복한데 챙겨주는 이없는 독거노인 불우이웃들에게 조금 더 관심이가고 작게나마 도움을 주며 살고있습니다 저는 원래 착한 사람이 아닙다 이기적이고 멋대로고 자기중심적인 사람이었지만 지금은 베풀고 제 평온한 마음처럼 모두가 행복하기를 바라는 마음입니다 ",4.0
27,28,"공부하기를 원하는 분야에 대한 학교/과에 진학하지 못하고 수능성적에 맞는 학교/과에 지원하여 학교를 다니게 되었다. 1학년때 3-4학년 선배들을 통해, 우리과에 내가원하는 분야를 응용하여 연구하는 교수님이 있다는걸 알게되었다. 그래서 1학년마치고 바로 교수님을 쫓아가 연구실에 들어가겠다 요청하였고 그것을 시작으로 석박사까지 마치게 되었다. 석사때까지는 그 생활이 너무나 행복했고, 내가 좋아하는것을 직업으로 꿈꿀수 있어 좋았고 공부할수 있음에 감사하였다. 그러나 박사과정을 거쳐 졸업하고 바로 직장을 다니는 지금에까지 너무나 많은 스트레스가 있었다. 물론 처음에 취업했을땐 오로지 학교를 벗어났다는것에 너무나 행복했고, 정말 그누구보다도 내가 가장 행복한 사람이라 자부하였다. 20살때부터 방학없이, 휴학한번없이 계속 공부했어서 10년만에 학교를 떠났다는것이 너무 행복했다. 하지만 졸업하자마자 한달, 심지어 일주일의 시간도없이 바로 취업을 하게되었고 지금은 그저 지친 생활만을 하고 있다. 회사생활은 전혀 힘들지 않다. 그런데 휴식한번없이 그저 앞만 보고 달려온 상황에 너무 지쳐버린게 아닌가 싶기도하다.  회사생활을 하는동안 너무나 좋은 사람들을 만날수 있었다. 주위 모든사람이 나에게 멘토가 되주었고, 하루하루가 좋았다. 지금 지쳐있는 내 자신이 그나마 버틸수 있는건 주변사람들덕분이 아닌가 싶다. 나는 예전부터 친구와의 관계에대해 극도로 스트레스를 받았다. 하지만 적당한 선에서 공과사 구분하여 회사사람들과 관계를 유지하는것이, 오히려 친구들보다(과거의 친구들) 더 편하다는 생각이 든다. 적당한 선을 유지한다는것. 그게 나의 생활에 있어서 가장 큰 고민거리가 아닌가 싶다. ",3.0
28,29,"원래 소심하고 말이 없는 성격이였다. 그와 반대로 동생은 활기차고 밝은 아이였다. 내가 중학교 3학년쯤 동생이 백혈병으로 사망하였고 부모님은 동생을 그리워했다. 소심하고 말이 없던 나보다 동생을 더 그리워한다는 생각이 들어 성격을 고치기로 마음 먹었다. 지하철에서 자기소개 하기, 플래쉬몹, 인터넷 음악방송 등 여러가지 활동을 통해 성격을 고쳤고 다양한 경험과 다양한 사람을 만났다. 부모님이 좋아했던 동생을 닮은 성격이 되었지만 부모님은 이혼을 하였고 그로 인해 내 성격은 타인이 보았을 때는 남들과 잘 지내고 밝아보이나 사실은 그 것을  피곤해하고 귀찮아하는 생각을 가지게 되었다. 대인관계에 쉽게 피로감을 느끼나 애정결핍을 가지고 있어 정말 가까운 사람들에게는 애정을 갈핍하는 경향이 있다. 타인들이 보았을 경우 나와 쉽게 친해지고 친하다고 생각하나 나는 아니라고 생각하는 경우가 많아 오해를 사는 경우도 종종 있었다. 겉으로는 사람을 잘 믿는 듯 하나 속으로는 의심하는 경우가 많고 나 자신에 대한 신뢰, 자신감은 강하다. 타인과 쉽게 친해지는 성격 + 타인을 경계하고 의심하는 성격으로 동호회나 동아리 회장을 맡았을 경우 큰 문제 없이 이끌어 나갈 수 있었다. 다만 문제시 되는 사람을 쉽게 정리하는 부분에 있어서는 냉정하다는 평가를 받기도 했다. 원래 성격과 다르게 내가 편하기 위해 만들어진 외적 성격이 있다고 생각한다. 여러가지 알바나 외부 활동을 통해 다른 사람이 원하는 모습을 잘 캐치한다고 생각하고 거기에 맞춰서 행동도 잘한다. 하지만 그런 활동이 끝나고 나면 스트레스를 많이 받으며 쉽게 피로감을 느낀다. 이중적인 성격이나 나 스스로는 중심을 잘 지킨다고 생각하는 경향이 있으며 항상 나에 대해 많은 생각과 고민하는 시간을 갖는다.",2.0
29,30,평소 저는 친하게 지내는 친구들과 소수 인원으로 지내면서 제 속마음도 털어놓고 직설적인 화법을 구사하며 친구들을 좋아하는 사람으로 지내오던 사람이었습니다. 20대 초반 대학을 가게되면서 인맥이 넓어지기 시작하며 새롭게 만나게 되는 사람들이 저에게 표정을 보고 말을 안하면 인상이 무뚝뚝해보인다는 이야기를 몇 번 들었습니다. 저는 화가 나지도 않았고 기분도 괜찮았는데 그런 질문을 받을 때마다 억울하고 거울을 자주 보게 되는 연습을 하게 되었습니다.  결정적인 계기는 사회생활을 시작하면서부터였습니다. 첫 직장에서 너무 긴장한 나머지 표정도 안좋고 친절함이 없어보인다며 퇴사를 권유받고서 저는 큰 충격에 빠졌습니다. 그 후로 컴플렉스로 느껴졌던 부위에 성형수술도 하게되었습니다. 신기하게도 성형수술을 하고나서는 인상이 너무 좋아졌다는 소리를 듣기 시작하였습니다. 이성친구도 많이 만나게되었고 사람들 에서 웃는 모습이 자연스럽게 나오기 시작했습니다. 그러면서 술도 좋아하게되었고 술을 마시면서 사람들과 친해지는 것이 너무 즐거워졌습니다. 자연스럽게 말도 많아지고 원래 성격이 바로바로 나오면서 사람들에게 직설적이면서 솔직하게 말하는 성격이 되었습니다. 그러다보니 술을 안먹는 사람들하고는 왠지 대화가 좀 끊기기도 하고 쑥쓰러워지는 느낌을 받고 있습니다. 쑥쓰러울 때마다 말을 하면서 풀고는 하는데 너무 말이 많아서 경솔한 느낌을 주는 것 같은 생각도 가끔 들고 있습니다. 저는 제 표현의 수단이 말과 표정 그리고 행동이라고 생각합니다. 그런 행동을 하지않으면 사람들이 저를 어떻게 생각할지 모른다는 생각에 나오는 버릇들이라고 생각합니다. 그러면서 사람들이 저를 어떻게 판단하고 있는지 신경이 많이 쓰이는 요즘입니다. 너무 직설적인 화법과 말투때문에 분명히 상처를 받거나 자기 성격이랑 안맞다고 멀어지거나 하는 경우들이 생기고 있기 때문입니다. 결혼 준비때문에 사람들을 많이 마주치고 있는 요즘 그런 고민들 때문에 밤잠을 잘 못 이루는 이유도 있는 것 같습니다. ,4.0
30,31,"오늘까지 살아오며 항상 최악의 경우를 생각하며 살아온 거 같다. 예를들면 어릴적 부모님이 싸우는 모습을 보며 두분이 이혼을 할 수 도 있겠다는 극단적인 생각을 했고.. 학생시절 교우 관계에서도 이친구가 나와 진정한 친구가 될 수 있을까? 언제든 나와 헤어지고 다른 친구에게 갈 수 있겠지 하고 생각하곤 했다... 대학시절엔 소개팅자리에서 만나는 여자들과도 나와 정말로 인연이 될 수 있을 것인가 나의 어떤면을 보고 나를 만나는가 하는 등 항상 경계하며 최악을 상황을 가정하며 살았던 것 같다. 그러다보니 사람과의 관계에서 내가 가진 모든것을 보여주고 진실한 관계를 맺을 수 없었고 언제 그 사람과의 관계가 끝나더라도 전혀 상처받지 않을 만큼만.. 딱 그정도로 한발짝 떨어져 사람들을 대해온 것 같다. 사회생활을 하는 지금도 새로운 인간관계.. 예를들어 직장내 동료들, 같은 마을 주민들과 어울릴 기회가 생길때마다 먼저 경계감이 생기고고 선뜻 다가서지 못하는 경향이 있다. 왜 이런 성격을 갖게 되었는지는 특별히 생각나는 계기가 없는 것 같고 자연스레 몸에 체득된 듯 하다. 오히려 지금의 이런 성격 때문에 다른 사람이 보기엔 매우 차가운? 성격을 유지하고 있고, 내 감정을 솔직히 드러내지 못하며 기쁠때나 슬플때나 주위상황에 어울리지 못하고 주위를 배회하는 나의 모습을 자주 느낀다. 그런 상황이 생길때마다 마치 제 3자가 된 것 처럼 생각하고 누구보다 냉정하고 이성적으로 생각하는 나의 모습에 스스로도 많이 놀라는 편이다. 지금 가정생활에서 가족들과의 갈등은 크게 없지만 집 사람이 항상 얘기하는 말이 있다. ""좀 더 살갑게 표현해주지 못 하냐?"" ,  ""아이들에게 더 다정다감하게 다가서지 못하냐?"" 등등 핀잔을 곧 잘 듣 곤 한다. 하지만 지금의 나 스스로 내 성격에 불만은 없다. 오히려 이런 성격 때문에 오히려 좀더 차분해지고 상황을 더 냉철하게 판단할 수 있는 기회를 얻을 수 있는 것 같다.",1.0
31,32,  나는 고등학교시절 중소도시의 가장 좋은 고등학교를 들어갔고 공부도 중상위권에 속했다. 대학의 진로를 생각할 때 나는 내가 가고 싶은 대학이나 학과선택을 자유롭게 할 수 없었다. 그 이유는 형제가 6명이나 되는 가족의 막내였고 대학을 보내주는 것만으로도 감사히 여겨야 하는 상황이였다. 사립대를 가면 원하는 과를 갈 수 있었으나 학비때문에 국립대를 가야했고 경제적으로 어려운 상황에 내 뜻을 관철할 수 없었다.  결국 나는 국립대 사회계열을 나와서 좋은 직장 취업에 성공할 수 없었고 결혼을 하고 아이를 낳고 전업주부와 알바를 반복했다. 지금 고 3인 나의 딸이 진로 걱정을 하고있다. 나는 우리 딸이 등록금 걱정없이 하고싶은 공부를 하고 후회없는 선택을 했으면 좋겠다. 그때 내가 조금 더 이기적으로 행동했더라면 지금 교사가 되어 그때의 이기적인 면을 보상할 수있을텐데...라는 생각도 가진다  내가 인생에서 가장 후회되는 거라면 갈림길에 섰을 때 항상 환경에 순응하고 안주하고 합리화했던 것을 후회한다. 주어진 환경을 개척하고 힘들어도 내 뜻대로 밀고 나갔다면 최소한 내모습보다는 조금 더 멋진 삶을 살고있지 않았을까 늘 마음속에 후회로 남는다  내 딸들이 이제 그 고민의 기로에 서있는 거 같아 옆에서 항상 조언한다.  하고 싶은 일하면서 행복하라구....세상의 잣대에 나를 맞추고 의미없는 보통사람이 되지 말라고조언하다.편한 길만이 답일 수는 없다. 나는 너무 편한 길만 선택해서 온 것 같아 후회스럽다.,3.0
32,33,"초등학교때부터 굉장히 욕심이 많았던 학생이었습니다. 공부도 잘해야했고, 뭐든 다 잘해야 해서 어릴때 밤을 새며 완벽하게 하는 습관이 있었는데 4학년때 그 욕심이 깨지는 계기가 되었습니다 4학년때 내가 원했던 상을 타지 못했다는 이유로 선생님이 보는 앞에서 그 상장을 찢어버리고 집에 바로 갔던 기억이 있었습니다. 집에 가선 부모님한테 굉장히 혼이 났습니다. 제가 무얼 잘못한지는 알았는데 쉽게 인정할 수 없었던거 같습니다. 항상 최고만 했다가 내가 원하던 상장이 아닌 다른 상을 타는 순간  가슴이 내려앉는 기분이었습니다. 부모님은 저를 훈계하신 뒤, 세상이 항상 너 맘대로 되는건 아니라고 타이르셨습니다. 그 후로는 좀 유연해진 사고를 갖게 되었습니다 당연히 인간관계도 좋아졌다 볼 수 있고, 주변의 질투도 덜 받아서 편해지긴 했습니다. 다만 안타까운건 그 후로는 학습적인 부분에서 큰 욕심이 없어졌다는 점, 내인생을 좋은 운에 맡기는 습관이 생겼습니다. 하지만 나를 항상 지지해주고 이해해주는 소중한 가족이 있어서 뭐 아쉽진 않습니다. 현재는 노력한거에 비해 남들이 보기엔 팔자 좋은 삶?을 살고 있지만, 계속 운에만 의지하니 욕심 있는 친구들이 부러워지는 나이대가 되었습니다... 그래서 요즘은 다시 제 욕심을 가지려고 노력하는 중입니다. 또래에 비해 재테크 능력이 뛰어난 편이긴 합니다. 아무튼 학벌이나 직업으로는 원하는 바를 이루지 않았으나 , 다른 부분에서 만족된 삶을 만들어 꼭~~ 제 어릴적에 욕심대로 사는 사람이 되고 싶습니다. 물질적으로 엄청 풍요롭고 행복한 가정을 꾸리고 내조를 잘하고, 아이들에겐 좋은 엄마, 부모님께도 잘하는 효녀가 되는 것이 소망입니다. ",2.0
33,34,"평소 친구들을 좋아하고 술먹는 걸 좋아하던 저에게 여자친구가 한명 생겼습니다. 그 전에는 여자친구라는 개념이 그냥 같이 데이트하고 놀고 맛있는거 같이 먹는 이성 친구라고 생각하고 즐겨왔는데, 나이를 점점 먹게되고 언제까지 부모님밑에서 도움받으면서 살아야하나 라는 생각이 들면서 옆에 있는 여자친구와 인생을 꾸려나가봐야겠다는 생각이 정말 어느날 문득 들었습니다. 그 생각은 옆에 있는 여자친구를 만나면서 영향을 많이 받았습니다. 사귄지 4년정도 되었을 때 청약을 넣어왔던 것이 당첨이 되면서 여자친구와 결혼을 결심을 하게 되었습니다. 주변에는 아직도 철없고 노는거 좋아하는 친구들이 많아서 간혹가다 정신이 팔리기도 하지만 여자친구가 옆에서 열심히 도와주고 대화를 나누게 되면서 나 자신에게도 변화가 생기고 있음을 느끼고 있습니다. 집을 사게되면서 사정상 혼인신고를 먼저 하게 되었는데 이 혼인신고를 하면서 책임감이라는게 가슴 속에 와닿기 시작했습니다. 이제는 혼자가 아닌 둘이라는 매개체가 또 탄생했다는 생각에 가슴이 벅차고 흥분이 됩니다. 결혼준비를 하면서 자주 의견이 엇갈리고 여자친구가 화를 낼때마다 저는 너무 속상하고 그냥 내려놓고 여자친구의 뜻을 다 받아주고 있습니다. 제가 옆에서 도와줄 수 있는게 없는거 같아서 그게 제일 마음이 좋지 않고 제가 짐이 되는거 같이 느낄 때도 간혹 있습니다. 이런 계기들로 인해 제가 한층 더 성숙해져간다고 생각합니다. 이제 앞으로 더 많은 일들이 생길거 같은데 그럴때마다 저는 도를 닦는 기분으로 받아주고 가정을 지켜내보려고 합니다. 제가 나이를 더 먹고나서 30대인 저를 다시 돌아봤을 때 후회가 남지 않을 정도로 살아보고 싶습니다. 이 경험은 저를 상대방에게서 들어주고 믿어주고 지켜줄 수 있는 사람이라고 생각됩니다.",0.0
